date,city,aqi,co2_emissions,methane_emissions,vehicle_density,industrial_activity,waste_index,ev_subsidy_level,emission_cap_strength,pm25_proxy,pm10_proxy,temperature,humidity,wind_speed,month,day_of_year,year
2018-01-01,Chennai,482.79,3.952,1.947,0.657,0.7,0.55,0.178,0.313,204.66,354.43,-3.7,62.4,9.1,1,1,2018
2018-01-02,Chennai,485.96,3.994,1.89,0.69,0.677,0.739,0.196,0.313,237.81,359.29,9.8,62.3,7.5,1,2,2018
2018-01-03,Chennai,493.07,3.917,1.893,0.676,0.74,0.526,0.162,0.309,236.25,367.95,3.7,77.5,9.8,1,3,2018
2018-01-04,Chennai,499.16,4.019,1.868,0.653,0.73,0.774,0.217,0.334,217.99,380.12,5.5,63.0,6.3,1,4,2018
2018-01-05,Chennai,500.0,4.106,1.927,0.673,0.719,0.647,0.288,0.293,237.81,371.69,2.5,55.4,10.2,1,5,2018
2018-01-06,Chennai,482.32,4.03,1.855,0.631,0.784,0.696,0.173,0.293,207.84,385.29,11.6,48.5,9.2,1,6,2018
2018-01-07,Chennai,500.0,4.022,1.842,0.697,0.791,0.754,0.213,0.288,219.61,373.58,12.0,57.7,3.7,1,7,2018
2018-01-08,Chennai,500.0,3.975,1.873,0.68,0.796,0.631,0.206,0.35,225.08,357.7,2.5,63.1,9.7,1,8,2018
2018-01-09,Chennai,482.96,3.905,1.929,0.671,0.688,0.699,0.208,0.332,210.32,352.96,2.2,47.7,13.5,1,9,2018
2018-01-10,Chennai,500.0,4.322,2.123,0.651,0.796,0.603,0.188,0.289,229.84,381.96,8.5,67.4,9.0,1,10,2018
2018-01-11,Chennai,500.0,3.774,1.895,0.629,0.65,0.606,0.202,0.278,234.1,382.48,8.7,55.1,9.7,1,11,2018
2018-01-12,Chennai,479.3,3.845,1.842,0.582,0.74,0.688,0.209,0.298,204.33,358.82,5.0,56.4,7.5,1,12,2018
2018-01-13,Chennai,497.59,4.112,1.886,0.58,0.785,0.692,0.227,0.303,224.86,372.58,3.1,57.0,15.2,1,13,2018
2018-01-14,Chennai,463.5,3.781,1.867,0.584,0.69,0.674,0.225,0.307,200.65,349.29,10.9,45.3,14.9,1,14,2018
2018-01-15,Chennai,500.0,4.071,1.966,0.698,0.678,0.767,0.241,0.272,227.2,382.39,5.7,51.9,13.6,1,15,2018
2018-01-16,Chennai,460.02,3.833,1.862,0.63,0.741,0.658,0.181,0.288,209.39,343.98,5.6,58.9,14.5,1,16,2018
2018-01-17,Chennai,469.05,4.016,1.884,0.605,0.822,0.782,0.209,0.327,205.98,336.12,7.1,54.4,7.0,1,17,2018
2018-01-18,Chennai,500.0,4.185,2.019,0.651,0.825,0.681,0.199,0.315,223.69,365.84,2.4,50.6,6.1,1,18,2018
2018-01-19,Chennai,456.0,3.815,1.931,0.613,0.801,0.713,0.23,0.289,206.03,334.28,5.1,51.4,16.3,1,19,2018
2018-01-20,Chennai,478.69,4.056,1.867,0.644,0.689,0.706,0.157,0.322,209.94,344.22,4.1,58.0,8.8,1,20,2018
2018-01-21,Chennai,498.34,4.111,1.851,0.672,0.739,0.63,0.237,0.323,210.86,358.4,1.3,64.3,7.2,1,21,2018
2018-01-22,Chennai,484.45,4.014,1.988,0.64,0.848,0.691,0.214,0.348,224.21,366.53,4.8,51.1,10.4,1,22,2018
2018-01-23,Chennai,494.51,4.187,1.977,0.637,0.786,0.569,0.241,0.299,228.68,369.49,7.3,44.9,6.5,1,23,2018
2018-01-24,Chennai,489.22,3.89,1.943,0.653,0.664,0.662,0.206,0.29,225.92,374.28,5.3,71.2,9.9,1,24,2018
2018-01-25,Chennai,500.0,3.969,1.915,0.599,0.781,0.67,0.2,0.301,217.06,395.04,7.4,59.1,7.2,1,25,2018
2018-01-26,Chennai,475.08,4.067,1.886,0.668,0.702,0.697,0.186,0.323,211.92,364.6,4.7,49.5,11.5,1,26,2018
2018-01-27,Chennai,492.97,4.186,2.041,0.713,0.728,0.664,0.193,0.279,208.79,376.92,9.9,45.2,7.1,1,27,2018
2018-01-28,Chennai,499.79,3.598,1.771,0.647,0.777,0.795,0.145,0.305,241.59,356.23,11.2,63.2,6.3,1,28,2018
2018-01-29,Chennai,491.34,3.654,1.785,0.659,0.722,0.544,0.201,0.305,210.48,374.55,10.4,42.2,6.9,1,29,2018
2018-01-30,Chennai,500.0,3.75,1.743,0.623,0.711,0.573,0.19,0.331,235.01,373.68,9.1,48.6,10.1,1,30,2018
2018-01-31,Chennai,500.0,4.099,2.1,0.625,0.794,0.604,0.209,0.294,218.79,388.19,11.2,53.5,7.7,1,31,2018
2018-02-01,Chennai,499.58,3.994,1.902,0.689,0.765,0.67,0.186,0.302,227.23,358.81,7.1,49.1,12.2,2,32,2018
2018-02-02,Chennai,449.97,3.633,1.898,0.652,0.743,0.61,0.217,0.316,200.43,347.1,6.7,39.4,9.9,2,33,2018
2018-02-03,Chennai,499.8,4.294,1.961,0.674,0.834,0.6,0.203,0.293,221.83,367.01,9.1,43.3,11.5,2,34,2018
2018-02-04,Chennai,488.46,4.023,2.027,0.664,0.739,0.632,0.153,0.29,223.06,353.47,7.8,45.9,7.6,2,35,2018
2018-02-05,Chennai,500.0,3.87,1.929,0.641,0.739,0.557,0.209,0.343,220.59,398.53,13.8,36.2,9.6,2,36,2018
2018-02-06,Chennai,462.58,3.98,1.909,0.693,0.71,0.69,0.232,0.317,195.25,347.03,15.9,43.6,9.9,2,37,2018
